STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES
MADHYA PRADESH,JABALPUR,2008,69,111,127,0,127,52,40,12,42,288,67,146,0
MADHYA PRADESH,JABALPUR RLY.,2008,4,2,1,0,1,1,1,0,0,7,1,0,0
MADHYA PRADESH,JHABUA,2008,19,20,31,0,31,18,18,0,4,32,0,9,0
MADHYA PRADESH,KATNI,2008,33,26,48,0,48,7,5,2,18,97,7,57,0
MADHYA PRADESH,KHANDWA,2008,36,35,52,0,52,12,10,2,5,154,27,37,0
MADHYA PRADESH,KHARGON,2008,49,45,65,0,65,8,8,0,23,154,23,42,0
MADHYA PRADESH,MANDLA,2008,34,16,47,0,47,3,2,1,4,87,14,25,0
MADHYA PRADESH,MANDSAUR,2008,45,32,40,0,40,19,15,4,15,128,4,56,0
MADHYA PRADESH,MORENA,2008,59,75,26,0,26,35,21,14,32,73,1,73,0
MADHYA PRADESH,NARSINGHPUR,2008,48,41,61,0,61,5,2,3,14,100,16,44,0
MADHYA PRADESH,NEEMUCH,2008,24,14,19,0,19,12,3,9,0,45,14,28,0
MADHYA PRADESH,PANNA,2008,34,17,28,0,28,7,6,1,17,77,0,26,0
MADHYA PRADESH,RAISEN,2008,42,42,67,0,67,24,17,7,19,150,0,35,0
MADHYA PRADESH,RAJGARH,2008,38,63,83,0,83,28,22,6,10,166,36,136,0
MADHYA PRADESH,RATLAM,2008,43,44,63,0,63,16,14,2,11,105,11,57,0
MADHYA PRADESH,REWA,2008,52,42,82,0,82,27,26,1,26,124,7,67,0
MADHYA PRADESH,SAGAR,2008,83,90,119,0,119,31,28,3,37,349,38,154,0
MADHYA PRADESH,SATNA,2008,62,50,102,0,102,20,15,5,32,207,9,137,0
MADHYA PRADESH,SEONI,2008,41,23,61,0,61,16,14,2,7,103,14,21,0
MADHYA PRADESH,SHAHDOL,2008,31,12,47,0,47,13,13,0,16,139,9,57,0
MADHYA PRADESH,SHAJAPUR,2008,27,44,57,0,57,16,13,3,12,161,34,77,0
MADHYA PRADESH,SHEOPUR,2008,9,19,13,0,13,10,5,5,0,32,2,19,0
MADHYA PRADESH,SHIVPURI,2008,74,47,64,0,64,31,24,7,16,128,3,53,0
MADHYA PRADESH,SIDHI,2008,30,12,37,0,37,17,17,0,18,83,5,30,0
MADHYA PRADESH,SIHORE,2008,28,47,57,0,57,20,18,2,8,89,16,57,0
MADHYA PRADESH,SINGRAULI,2008,26,17,40,0,40,13,12,1,22,87,1,27,0
MADHYA PRADESH,TIKAMGARH,2008,46,28,35,0,35,13,10,3,25,107,2,36,0
MADHYA PRADESH,UJJAIN,2008,60,122,78,0,78,32,25,7,23,215,37,158,0
MADHYA PRADESH,UMARIYA,2008,22,10,25,0,25,6,2,4,5,60,7,13,0
MADHYA PRADESH,VIDISHA,2008,40,45,93,0,93,14,13,1,24,205,25,63,0
MADHYA PRADESH,TOTAL,2008,2322,2282,2937,0,2937,929,736,193,805,6445,758,3185,0
MAHARASHTRA,AHMEDNAGAR,2008,134,107,49,0,49,51,33,18,0,125,4,537,0
MAHARASHTRA,AKOLA,2008,54,72,26,0,26,35,33,2,7,111,61,153,0
MAHARASHTRA,AMRAVATI COMMR.,2008,18,30,22,0,22,10,9,1,4,41,10,85,0
MAHARASHTRA,AMRAVATI RURAL,2008,75,27,47,0,47,18,18,0,3,137,33,146,0
MAHARASHTRA,AURANGABAD COMMR.,2008,39,38,21,0,21,38,30,8,4,51,16,138,0
MAHARASHTRA,AURANGABAD RURAL,2008,56,36,21,0,21,11,7,4,39,65,9,226,0
MAHARASHTRA,BEED,2008,61,34,26,0,26,39,22,17,11,92,11,332,0
MAHARASHTRA,BHANDARA,2008,28,14,26,0,26,14,13,1,0,69,18,73,0
MAHARASHTRA,BULDHANA,2008,54,47,36,0,36,28,25,3,9,153,39,250,0
MAHARASHTRA,CHANDRAPUR,2008,51,47,37,0,37,34,28,6,14,112,146,221,0
MAHARASHTRA,DHULE,2008,54,38,10,0,10,8,8,0,3,32,8,196,0
MAHARASHTRA,GADCHIROLI,2008,56,33,22,0,22,13,11,2,2,30,7,46,0
MAHARASHTRA,GONDIA,2008,35,14,38,0,38,14,13,1,3,84,25,58,0
MAHARASHTRA,HINGOLI,2008,43,29,17,0,17,10,9,1,7,54,6,99,0
MAHARASHTRA,JALGAON,2008,83,57,42,0,42,29,19,10,18,107,29,456,0
MAHARASHTRA,JALNA,2008,58,33,16,0,16,13,10,3,27,53,7,309,0
MAHARASHTRA,KOLHAPUR,2008,59,26,34,0,34,30,18,12,17,76,13,153,0
MAHARASHTRA,LATUR,2008,74,28,22,0,22,29,29,0,77,74,0,187,0
MAHARASHTRA,MUMBAI COMMR.,2008,210,132,218,0,218,189,116,73,11,436,121,502,0
MAHARASHTRA,MUMBAI RLY.,2008,8,1,4,0,4,8,2,6,1,12,0,0,0
MAHARASHTRA,NAGPUR COMMR.,2008,100,57,53,0,53,43,28,15,7,91,71,237,0
MAHARASHTRA,NAGPUR RLY.,2008,5,7,1,0,1,3,2,1,0,8,2,0,0
MAHARASHTRA,NAGPUR RURAL,2008,77,45,37,0,37,24,20,4,7,89,32,95,0
MAHARASHTRA,NANDED,2008,88,57,23,0,23,29,22,7,8,77,6,252,0
MAHARASHTRA,NANDURBAR,2008,30,14,11,0,11,10,8,2,1,21,7,93,0
MAHARASHTRA,NASIK COMMR.,2008,43,31,14,0,14,34,21,13,5,42,10,141,0
MAHARASHTRA,NASIK RURAL,2008,90,55,36,0,36,33,17,16,5,61,24,287,0
MAHARASHTRA,NAVI MUMBAI,2008,61,39,12,0,12,26,14,12,1,31,11,72,0
MAHARASHTRA,OSMANABAD,2008,53,25,22,0,22,22,19,3,2,80,7,183,0
MAHARASHTRA,PARBHANI,2008,49,37,12,0,12,17,11,6,15,56,6,204,0
MAHARASHTRA,PUNE COMMR.,2008,137,141,92,0,92,110,80,30,7,113,73,273,0
MAHARASHTRA,PUNE RLY.,2008,2,2,1,0,1,1,1,0,1,3,0,0,0
MAHARASHTRA,PUNE RURAL,2008,146,77,66,0,66,46,30,16,13,104,30,189,0
MAHARASHTRA,RAIGAD,2008,43,31,17,0,17,6,5,1,5,33,10,41,0
MAHARASHTRA,RATNAGIRI,2008,18,15,26,0,26,15,12,3,0,33,27,55,0
MAHARASHTRA,SANGLI,2008,46,27,42,0,42,21,13,8,12,67,14,140,0
MAHARASHTRA,SATARA,2008,60,27,30,0,30,21,14,7,3,66,26,164,0
MAHARASHTRA,SINDHUDURG,2008,6,7,8,0,8,2,2,0,0,34,15,14,0
MAHARASHTRA,SOLAPUR COMMR.,2008,17,15,24,0,24,12,8,4,0,17,3,66,0
MAHARASHTRA,SOLAPUR RURAL,2008,88,59,63,0,63,48,37,11,9,101,0,241,0
MAHARASHTRA,THANE COMMR.,2008,99,76,74,0,74,103,72,31,12,149,46,384,0
MAHARASHTRA,THANE RURAL,2008,147,39,71,0,71,50,36,14,7,128,24,134,0
MAHARASHTRA,WARDHA,2008,36,27,26,0,26,26,22,4,5,128,36,116,0
MAHARASHTRA,WASHIM,2008,30,29,20,0,20,22,18,4,2,59,18,110,0
MAHARASHTRA,YAVATMAL,2008,74,55,43,0,43,34,33,1,6,114,30,171,0
MAHARASHTRA,TOTAL,2008,2795,1837,1558,0,1558,1379,998,381,390,3619,1091,7829,0
MANIPUR,BISHNUPUR,2008,16,43,3,0,3,14,11,3,0,16,0,4,0
MANIPUR,CHANDEL,2008,13,10,0,0,0,2,0,2,0,0,0,0,0
MANIPUR,CHURACHANDPUR,2008,18,5,2,0,2,5,0,5,0,0,0,0,0
MANIPUR,CID,2008,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,IMPHAL EAST,2008,30,103,9,0,9,43,24,19,0,14,0,5,0
MANIPUR,IMPHAL WEST,2008,42,192,12,0,12,60,31,29,1,22,0,7,0
MANIPUR,SENAPATI,2008,14,6,2,0,2,6,0,6,0,0,0,0,0
MANIPUR,TAMENGLONG,2008,3,3,0,0,0,2,0,2,0,0,0,0,0
MANIPUR,THOUBAL,2008,46,126,9,0,9,44,21,23,0,5,0,12,0
MANIPUR,UKHRUL,2008,5,10,1,0,1,0,0,0,0,0,0,0,0
MANIPUR,TOTAL,2008,187,498,38,0,38,176,87,89,1,57,0,28,0
MEGHALAYA,GARO HILLS EAST,2008,10,5,1,0,1,10,2,8,0,1,0,0,0
MEGHALAYA,GARO HILLS SOUTH,2008,4,1,2,0,2,2,0,2,0,0,0,0,0
MEGHALAYA,GARO HILLS WEST,2008,16,20,10,0,10,9,4,5,0,21,3,13,0
MEGHALAYA,JAINTIA HILLS,2008,38,5,18,0,18,7,4,3,0,7,0,0,0
MEGHALAYA,KHASI HILLS EAST,2008,30,16,34,0,34,19,10,9,2,14,1,19,0
MEGHALAYA,KHASI HILLS WEST,2008,13,7,16,0,16,5,3,2,0,2,0,0,0
MEGHALAYA,RI-BHOI,2008,15,1,7,0,7,4,2,2,0,9,0,0,0
MEGHALAYA,TOTAL,2008,126,55,88,0,88,56,25,31,2,54,4,32,0
MIZORAM,AIZAWL,2008,12,7,39,0,39,1,0,1,0,36,0,4,0
MIZORAM,CHAMPHAI,2008,4,1,7,0,7,1,0,1,0,5,0,0,0
MIZORAM,KOLASIB,2008,2,1,9,0,9,4,1,3,0,11,0,1,0
MIZORAM,LAWNGTLAI,2008,3,1,8,0,8,0,0,0,0,2,0,0,0
MIZORAM,LUNGLEI,2008,8,0,8,0,8,2,0,2,0,13,0,0,0
MIZORAM,MAMIT,2008,1,0,2,0,2,1,0,1,0,3,0,0,0
MIZORAM,SAIHA,2008,2,0,0,0,0,0,0,0,0,1,0,0,0
MIZORAM,SERCHHIP,2008,3,0,4,0,4,0,0,0,0,7,0,0,0
MIZORAM,TOTAL,2008,35,10,77,0,77,9,1,8,0,78,0,5,0
NAGALAND,DIMAPUR,2008,64,13,6,0,6,31,5,26,0,11,0,2,0
NAGALAND,KIPHIRE,2008,4,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,KOHIMA,2008,27,7,6,0,6,5,0,5,0,1,0,2,0
NAGALAND,LONGLENG,2008,0,2,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,MOKOKCHUNG,2008,15,3,1,0,1,3,0,3,0,0,0,0,0
NAGALAND,MON,2008,12,5,1,0,1,0,0,0,0,1,0,0,0
NAGALAND,PEREN,2008,4,2,1,0,1,0,0,0,0,0,0,0,0
NAGALAND,PHEK,2008,9,8,2,0,2,1,0,1,0,1,0,0,0
NAGALAND,TUENSANG,2008,3,0,1,0,1,0,0,0,0,0,0,0,0
NAGALAND,WOKHA,2008,5,5,0,0,0,4,2,2,0,1,1,0,0
NAGALAND,ZUNHEBOTO,2008,0,2,1,0,1,0,0,0,0,0,0,0,0
NAGALAND,TOTAL,2008,143,47,19,0,19,44,7,37,0,15,1,4,0
ODISHA,ANGUL,2008,53,64,47,0,47,49,41,8,16,186,11,61,0
ODISHA,BALASORE,2008,31,44,50,0,50,47,44,3,27,76,24,217,0
ODISHA,BARAGARH,2008,35,77,29,0,29,8,7,1,9,64,6,14,0
ODISHA,BERHAMPUR,2008,12,51,23,0,23,22,16,6,4,90,9,9,0
ODISHA,BHADRAK,2008,34,20,58,0,58,46,39,7,16,73,27,106,0
ODISHA,BOLANGIR,2008,30,41,34,0,34,24,19,5,12,132,8,18,0
ODISHA,BOUDH,2008,10,8,5,0,5,2,2,0,3,61,3,9,0
ODISHA,CUTTACK,2008,26,38,35,0,35,35,34,1,31,16,3,124,0
ODISHA,DCP BBSR,2008,51,58,36,0,36,45,24,21,23,61,7,38,0
ODISHA,DCP CTC,2008,14,21,18,0,18,21,17,4,15,18,3,55,0
ODISHA,DEOGARH,2008,16,47,13,0,13,8,6,2,5,96,3,36,0
ODISHA,DHENKANAL,2008,50,54,26,0,26,24,20,4,19,187,9,31,0
ODISHA,GAJAPATI,2008,14,15,8,0,8,4,3,1,2,52,6,3,0
ODISHA,GANJAM,2008,68,142,48,0,48,45,33,12,13,259,16,12,0
ODISHA,JAGATSINGHPUR,2008,24,9,25,0,25,29,27,2,20,22,0,51,0
ODISHA,JAJPUR,2008,74,66,36,0,36,64,62,2,40,98,15,109,0
ODISHA,JHARSUGUDA,2008,27,29,12,0,12,12,8,4,6,67,8,35,0
ODISHA,KALAHANDI,2008,24,15,38,0,38,29,29,0,3,82,5,27,0
ODISHA,KANDHAMAL,2008,27,30,46,0,46,15,11,4,3,70,2,39,0
ODISHA,KENDRAPARA,2008,53,8,30,0,30,31,31,0,32,8,1,93,0
ODISHA,KEONJHAR,2008,91,152,66,0,66,58,46,12,22,203,27,34,0
ODISHA,KHURDA,2008,19,11,25,0,25,33,33,0,0,14,1,0,0
ODISHA,KORAPUT,2008,51,52,47,0,47,28,27,1,3,113,7,45,0
ODISHA,MALKANGIR,2008,46,34,12,0,12,8,7,1,0,33,5,10,0
ODISHA,MAYURBHANJ,2008,83,65,90,0,90,51,45,6,27,200,23,58,0
ODISHA,NAYAGARH,2008,33,8,34,0,34,25,21,4,10,7,5,85,0
ODISHA,NOWRANGPUR,2008,26,29,26,0,26,21,19,2,0,79,16,32,0
ODISHA,NUAPADA,2008,11,8,14,0,14,17,11,6,2,59,4,37,0
ODISHA,PURI,2008,25,33,37,0,37,31,18,13,13,24,7,87,0
ODISHA,RAYAGADA,2008,24,10,19,0,19,14,10,4,6,54,1,23,0
ODISHA,ROURKELA,2008,54,39,38,0,38,23,19,4,5,98,5,66,0
ODISHA,SAMBALPUR,2008,49,55,33,0,33,13,12,1,6,82,4,39,0
ODISHA,SONEPUR,2008,7,28,15,0,15,3,3,0,1,24,2,8,0
ODISHA,SRP(CUTTACK),2008,2,3,1,0,1,4,1,3,0,6,0,0,0
ODISHA,SRP(ROURKELA),2008,8,2,1,0,1,2,2,0,0,3,1,1,0
ODISHA,SUNDARGARH,2008,48,49,38,0,38,17,15,2,7,65,8,6,0
ODISHA,TOTAL,2008,1250,1415,1113,0,1113,908,762,146,401,2782,282,1618,0
PUNJAB,AMRITSAR,2008,46,71,15,0,15,54,44,10,6,25,11,66,0
PUNJAB,AMRITSAR RURAL,2008,29,39,10,0,10,23,17,6,6,5,2,27,0
PUNJAB,BARNALA,2008,24,33,12,0,12,7,6,1,1,11,0,10,0
PUNJAB,BATALA,2008,13,12,20,0,20,19,13,6,6,9,0,46,0
PUNJAB,BHATINDA,2008,44,63,20,0,20,44,28,16,4,29,5,39,0
PUNJAB,FARIDKOT,2008,17,20,15,0,15,13,10,3,1,9,0,16,0
PUNJAB,FATEHGARH SAHIB,2008,17,11,13,0,13,16,9,7,0,5,1,31,0
PUNJAB,FEROZPUR,2008,56,68,30,0,30,30,22,8,8,29,0,39,0
PUNJAB,G.R.P,2008,11,2,1,0,1,0,0,0,4,2,0,0,0
PUNJAB,GURDASPUR,2008,20,21,24,0,24,25,21,4,9,15,0,28,0
PUNJAB,HOSHIARPUR,2008,33,49,35,0,35,22,17,5,13,21,0,73,0
PUNJAB,JALANDHAR,2008,72,105,51,0,51,110,83,27,10,52,0,133,0
PUNJAB,KAPURTHALA,2008,23,70,24,0,24,23,14,9,4,19,0,27,0
PUNJAB,KHANNA,2008,21,16,12,0,12,19,12,7,7,5,0,28,0
PUNJAB,LUDHIANA,2008,73,69,46,0,46,115,78,37,10,36,21,92,0
PUNJAB,LUDHIANA RURAL,2008,16,20,14,0,14,21,12,9,4,4,5,19,0
PUNJAB,MANSA,2008,31,42,13,0,13,11,9,2,3,6,0,12,0
PUNJAB,MOGA,2008,27,29,19,0,19,24,17,7,3,19,0,22,0
PUNJAB,MUKTSAR,2008,25,42,12,0,12,12,8,4,3,6,0,19,0
PUNJAB,PATIALA,2008,42,49,35,0,35,44,37,7,13,17,0,116,0
PUNJAB,ROPAR,2008,9,14,10,0,10,11,9,2,2,18,1,27,0
PUNJAB,SANGRUR,2008,42,53,34,0,34,23,13,10,4,15,3,62,0
PUNJAB,SAS NGR,2008,26,10,20,0,20,28,18,10,3,0,0,0,0
PUNJAB,SBS NAGAR,2008,20,12,14,0,14,7,3,4,2,9,0,28,0
PUNJAB,TARN TARAN,2008,32,36,18,0,18,17,14,3,2,22,0,24,0
PUNJAB,TOTAL,2008,769,956,517,0,517,718,514,204,128,388,49,984,0
RAJASTHAN,AJMER,2008,47,36,45,0,45,102,84,18,17,108,0,516,0
RAJASTHAN,ALWAR,2008,101,59,88,0,88,142,91,51,38,134,0,429,0
RAJASTHAN,BANSWARA,2008,33,18,42,0,42,50,45,5,8,66,1,85,0
RAJASTHAN,BARAN,2008,37,109,52,0,52,45,45,0,10,169,0,181,0
RAJASTHAN,BARMER,2008,18,23,20,0,20,24,21,3,14,82,0,116,0
RAJASTHAN,BHARATPUR,2008,63,53,74,0,74,100,75,25,24,39,0,371,0
RAJASTHAN,BHILWARA,2008,37,35,42,0,42,68,58,10,13,77,0,370,0
RAJASTHAN,BIKANER,2008,38,70,48,0,48,29,28,1,12,74,0,306,0
RAJASTHAN,BUNDI,2008,17,67,33,0,33,70,52,18,3,98,0,224,0
RAJASTHAN,CHITTORGARH,2008,36,20,40,0,40,104,80,24,6,73,1,402,0
RAJASTHAN,CHURU,2008,16,39,37,0,37,43,22,21,16,16,0,212,0
RAJASTHAN,DAUSA,2008,33,32,21,0,21,61,48,13,9,34,0,100,0
RAJASTHAN,DHOLPUR,2008,51,77,21,0,21,64,46,18,19,9,0,127,0
RAJASTHAN,DUNGARPUR,2008,23,15,26,0,26,50,48,2,11,66,0,94,0
RAJASTHAN,G.R.P.,2008,4,4,2,0,2,4,1,3,1,17,0,0,0
RAJASTHAN,GANGANAGAR,2008,39,71,70,0,70,66,43,23,16,59,2,276,0
RAJASTHAN,HANUMANGARH,2008,55,82,33,0,33,35,29,6,17,68,0,232,0
RAJASTHAN,JAIPUR EAST,2008,15,27,20,0,20,64,61,3,6,54,2,140,0
RAJASTHAN,JAIPUR NORTH,2008,14,37,25,0,25,69,69,0,5,26,0,149,0
RAJASTHAN,JAIPUR RURAL,2008,66,32,35,0,35,110,82,28,11,108,5,205,0
RAJASTHAN,JAIPUR SOUTH,2008,17,25,15,0,15,52,44,8,9,26,0,162,0
RAJASTHAN,JAISALMER,2008,6,1,4,0,4,11,6,5,10,19,0,24,0
RAJASTHAN,JALORE,2008,24,19,13,0,13,27,17,10,8,50,0,106,0
RAJASTHAN,JHALAWAR,2008,58,99,44,0,44,66,44,22,6,144,2,262,0
RAJASTHAN,JHUNJHUNU,2008,34,20,40,0,40,44,35,9,22,32,0,240,0
RAJASTHAN,JODHPUR CITY,2008,13,56,19,0,19,43,35,8,10,25,1,212,0
RAJASTHAN,JODHPUR RURAL,2008,14,34,32,0,32,31,21,10,17,47,0,81,0
RAJASTHAN,KARAULI,2008,39,34,33,0,33,64,32,32,11,27,0,99,0
RAJASTHAN,KOTA CITY,2008,36,132,24,0,24,66,55,11,10,40,1,307,0
RAJASTHAN,KOTA RURAL,2008,33,41,34,0,34,30,26,4,4,76,0,201,0
RAJASTHAN,NAGAUR,2008,36,42,33,0,33,64,48,16,18,142,0,257,0
RAJASTHAN,PALI,2008,33,24,43,0,43,96,79,17,13,116,1,323,0
RAJASTHAN,PRATAPGARH,2008,20,24,49,0,49,54,52,2,2,51,0,138,0
RAJASTHAN,RAJSAMAND,2008,17,7,12,0,12,48,34,14,0,35,0,195,0
RAJASTHAN,SAWAI MADHOPUR,2008,25,31,16,0,16,50,39,11,6,29,0,144,0
RAJASTHAN,SIKAR,2008,43,28,40,0,40,48,38,10,15,18,0,217,0
RAJASTHAN,SIROHI,2008,26,21,17,0,17,40,36,4,5,66,0,110,0
RAJASTHAN,TONK,2008,15,28,22,0,22,50,46,4,6,41,3,206,0
RAJASTHAN,UDAIPUR,2008,65,77,91,0,91,174,148,26,11,159,0,294,0
RAJASTHAN,TOTAL,2008,1297,1649,1355,0,1355,2358,1863,495,439,2520,19,8113,0
SIKKIM,EAST,2008,5,5,5,0,5,2,2,0,0,5,0,3,0
SIKKIM,NORTH,2008,1,2,1,0,1,0,0,0,0,1,0,0,0
SIKKIM,SOUTH,2008,1,0,9,0,9,1,1,0,0,10,0,0,0
SIKKIM,WEST,2008,2,0,5,0,5,1,1,0,0,3,0,2,0
SIKKIM,TOTAL,2008,9,7,20,0,20,4,4,0,0,19,0,5,0
TAMIL NADU,CHENNAI,2008,100,130,35,0,35,43,32,11,25,46,67,165,0
TAMIL NADU,CHENNAI RLY.,2008,0,5,0,0,0,1,1,0,0,5,0,0,0
TAMIL NADU,CHENNAISUBURBAN,2008,74,76,21,0,21,29,24,5,28,42,42,41,0
TAMIL NADU,COIMBATORE RURAL,2008,88,77,14,0,14,63,46,17,8,107,8,115,0
TAMIL NADU,COIMBATORE URBAN,2008,20,28,9,0,9,17,7,10,6,29,7,62,0
TAMIL NADU,CUDDALORE,2008,63,71,16,0,16,56,52,4,1,29,80,50,0
TAMIL NADU,DHARMAPURI,2008,49,57,12,0,12,49,36,13,2,136,3,43,0
TAMIL NADU,DINDIGUL,2008,56,71,13,0,13,53,53,0,3,47,13,99,0
TAMIL NADU,ERODE,2008,60,43,21,0,21,57,45,12,1,78,16,30,0
TAMIL NADU,KANCHIPURAM,2008,75,76,24,0,24,18,18,0,7,20,2,8,0
TAMIL NADU,KANYAKUMARI,2008,29,58,8,0,8,42,42,0,6,27,70,71,0
TAMIL NADU,KARUR,2008,21,16,4,0,4,13,12,1,4,10,3,13,0
TAMIL NADU,KRISHNAGIRI,2008,54,65,20,0,20,44,36,8,2,40,5,21,0
TAMIL NADU,MADURAI RURAL,2008,55,79,18,0,18,32,24,8,9,72,1,75,0
TAMIL NADU,MADURAI URBAN,2008,39,38,4,0,4,24,14,10,5,11,2,42,0
TAMIL NADU,NAGAPATTINAM,2008,47,64,10,0,10,28,24,4,4,59,1,8,0
TAMIL NADU,NAMAKKAL,2008,46,34,19,0,19,49,37,12,5,49,24,25,0
TAMIL NADU,NILGIRIS,2008,6,10,4,0,4,4,4,0,1,20,0,9,0
TAMIL NADU,PERAMBALUR,2008,29,50,26,0,26,31,29,2,7,70,9,6,0
TAMIL NADU,PUDUKOTTAI,2008,37,42,4,0,4,34,31,3,8,45,2,39,0
TAMIL NADU,RAMNATHAPURAM,2008,45,95,6,0,6,28,16,12,2,34,1,12,0
TAMIL NADU,SALEM RURAL,2008,69,103,35,0,35,112,101,11,3,217,0,94,0
TAMIL NADU,SALEM URBAN,2008,29,40,22,0,22,32,27,5,7,16,11,33,0
TAMIL NADU,SIVAGANGAI,2008,34,47,1,0,1,43,35,8,4,7,16,56,0
TAMIL NADU,THANJAVUR,2008,66,93,7,0,7,29,29,0,7,108,0,20,0
TAMIL NADU,THENI,2008,28,55,7,0,7,35,32,3,4,30,5,35,0
TAMIL NADU,THIRUNELVELI RURAL,2008,89,248,42,0,42,68,60,8,3,115,0,97,0
TAMIL NADU,THIRUNELVELI URBAN,2008,20,45,8,0,8,16,12,4,2,7,49,7,0
TAMIL NADU,THIRUVALLUR,2008,35,41,17,0,17,22,22,0,9,18,0,30,0
TAMIL NADU,THIRUVANNAMALAI,2008,32,65,20,0,20,34,34,0,3,20,47,16,0
TAMIL NADU,THIRUVARUR,2008,26,36,6,0,6,14,12,2,1,51,2,3,0
TAMIL NADU,THOOTHUGUDI,2008,72,127,11,0,11,48,40,8,4,3,343,64,0
TAMIL NADU,TRICHY RLY.,2008,1,1,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,TRICHY RURAL,2008,55,27,11,0,11,28,26,2,5,16,0,28,0
TAMIL NADU,TRICHY URBAN,2008,13,30,2,0,2,10,4,6,5,7,37,25,0
TAMIL NADU,VELLORE,2008,74,33,21,0,21,53,52,1,7,25,0,49,0
TAMIL NADU,VILLUPURAM,2008,82,78,58,0,58,64,50,14,6,70,31,88,0
TAMIL NADU,VIRUDHUNAGAR,2008,41,73,17,0,17,52,41,11,3,19,77,69,0
TAMIL NADU,TOTAL,2008,1759,2327,573,0,573,1375,1160,215,207,1705,974,1648,0
TRIPURA,DHALAI,2008,20,3,32,0,32,18,7,11,2,22,0,34,0
TRIPURA,NORTH,2008,28,16,46,0,46,27,21,6,2,62,0,169,0
TRIPURA,SOUTH,2008,35,20,45,0,45,34,27,7,6,135,0,161,0
TRIPURA,WEST,2008,72,14,81,0,81,67,55,12,6,127,4,371,0
TRIPURA,TOTAL,2008,155,53,204,0,204,146,110,36,16,346,4,735,0
UTTAR PRADESH,AGRA,2008,109,133,42,0,42,229,183,46,77,123,109,479,0
UTTAR PRADESH,ALIGARH,2008,139,143,62,0,62,162,124,38,58,37,74,213,0
UTTAR PRADESH,ALLAHABAD,2008,143,89,49,0,49,144,124,20,68,91,55,259,0
UTTAR PRADESH,AMBEDKAR NAGAR,2008,33,19,18,0,18,51,45,6,13,20,20,133,0
UTTAR PRADESH,AURAIYA,2008,26,20,11,0,11,29,27,2,12,7,14,36,0
UTTAR PRADESH,AZAMGARH,2008,74,37,24,0,24,60,56,4,35,17,35,86,0
UTTAR PRADESH,BADAUN,2008,68,109,11,0,11,53,41,12,32,27,47,25,0
UTTAR PRADESH,BAGHPAT,2008,66,70,19,0,19,51,43,8,15,16,8,61,0
UTTAR PRADESH,BAHRAICH,2008,46,39,24,0,24,64,62,2,27,24,22,37,0
UTTAR PRADESH,BALLIA,2008,32,39,12,0,12,33,27,6,20,15,12,43,0
UTTAR PRADESH,BALRAMPUR,2008,15,11,12,0,12,21,20,1,5,12,10,13,0
UTTAR PRADESH,BANDA,2008,37,21,35,0,35,40,26,14,36,70,19,67,0
UTTAR PRADESH,BARABANKI,2008,54,70,23,0,23,83,82,1,47,34,54,110,0
UTTAR PRADESH,BAREILLY,2008,130,162,46,0,46,155,121,34,47,110,89,202,0
UTTAR PRADESH,BASTI,2008,26,22,7,0,7,18,18,0,15,5,15,24,0
UTTAR PRADESH,BIJNOR,2008,93,68,30,0,30,92,80,12,19,52,53,249,0
UTTAR PRADESH,BULANDSHAHAR,2008,104,98,28,0,28,77,60,17,29,51,74,151,0
UTTAR PRADESH,CHANDOLI,2008,24,27,4,0,4,11,9,2,19,10,19,91,0
UTTAR PRADESH,CHITRAKOOT DHAM,2008,28,14,22,0,22,20,5,15,17,21,0,17,0
UTTAR PRADESH,DEORIA,2008,33,16,15,0,15,20,13,7,36,6,17,27,0
UTTAR PRADESH,ETAH,2008,64,82,20,0,20,80,66,14,34,41,17,71,0
UTTAR PRADESH,ETAWAH,2008,70,72,19,0,19,89,64,25,28,43,29,108,0
UTTAR PRADESH,FAIZABAD,2008,43,14,23,0,23,58,56,2,18,26,43,86,0
UTTAR PRADESH,FATEHGARH,2008,65,60,23,0,23,61,41,20,26,35,56,84,0
UTTAR PRADESH,FATEHPUR,2008,74,35,16,0,16,53,42,11,41,32,15,67,0
UTTAR PRADESH,FIROZABAD,2008,121,139,27,0,27,114,78,36,41,43,77,77,0
UTTAR PRADESH,G.R.P.,2008,14,16,2,0,2,11,8,3,0,18,38,0,0
UTTAR PRADESH,GAUTAMBUDH NAGAR,2008,65,63,22,0,22,70,49,21,25,19,53,68,0
UTTAR PRADESH,GHAZIABAD,2008,143,138,30,0,30,199,138,61,39,30,83,202,0
UTTAR PRADESH,GHAZIPUR,2008,41,36,6,0,6,25,22,3,33,17,15,64,0
